Game ID	Total Reward
300.0	-4648.786117557013
301.0	840.7107923324445
302.0	-2198.0931713689965
303.0	-678.470858521591
304.0	-4398.385186746567
305.0	-1255.1208478186668
306.0	-1111.3687622544064
307.0	-1361.0695459157944
308.0	-2195.5117272271027
309.0	-2505.7505249901465
310.0	-5420.484994800127
311.0	-4197.686964632626
312.0	-3471.3458309153575
313.0	-1726.8695630869581
314.0	-2805.8448054676123
315.0	-3469.6122107150227
316.0	605.474812358402
317.0	-3158.366627582413
318.0	-3940.218287244168
319.0	-2092.7386926344598
320.0	-2054.0557458346757
321.0	-3185.775402992661
322.0	-3162.0223460090715
323.0	-2237.3786750908694
324.0	-2521.0888211081974
325.0	-2744.279963333163
326.0	-1784.2942176347115
327.0	-6054.894692872468
328.0	-1548.9745153597669
329.0	-1713.6717804170005
330.0	-2863.1283724353134
331.0	-7950.775784809484
332.0	-4725.59133565762
333.0	-3091.891631712526
334.0	-6185.350069978142
335.0	-5210.817495675117
336.0	-341.48468441398705
337.0	-7538.393504999212
338.0	-3205.141403172947
339.0	-3383.757078552718
340.0	-3106.687692598778
341.0	1540.702347666732
342.0	-4068.4978161642143
343.0	-99.28916310142442
344.0	-5096.487455005683
345.0	-297.4473540428213
346.0	-1978.9943407873552
347.0	-2884.3221372949947
348.0	-2666.82419083789
349.0	-2604.6094668695396
350.0	-364.5301867169532
351.0	-5332.887046617986
352.0	-3735.45669422547
353.0	-5602.294810732871
354.0	-2890.267802770942
355.0	-2952.7867175374004
356.0	-688.7792189457746
357.0	-625.21602674077
358.0	-6433.692894422623
359.0	-6781.085868406685
360.0	-3033.2333711659408
361.0	-6958.009915307692
362.0	-1912.8588115562136
363.0	-469.6250395085967
364.0	-2587.1112187678677
365.0	-3158.3721755133083
366.0	-2645.972430467944
367.0	2411.0141490000815
368.0	-5869.063251551978
369.0	-3164.901204501824
370.0	1929.639413851403
371.0	-2286.796936955362
372.0	-2262.0154473637335
373.0	-724.6626457241911
374.0	-7270.74984961065
375.0	-6632.982293031428
376.0	-7221.867145740579
377.0	-2403.34250896252
378.0	-8419.80010206708
379.0	-6008.299012440346
380.0	-3593.259067828009
381.0	-4249.6127534020015
382.0	-3914.47563608936
383.0	-285.43881478055386
384.0	-7738.010740988067
385.0	-5882.251499646052
386.0	-11142.552548035283
387.0	-4590.474990410644
388.0	-11584.083003141895
389.0	-5449.649039508269
390.0	-4373.616209931139
391.0	-6624.237825577988
392.0	-4049.550162832563
393.0	-2823.191186466127
394.0	-6123.34490704165
395.0	-3586.9230520404344
396.0	-4410.784047259216
397.0	-6048.610293282464
398.0	-2410.45191100409
399.0	-5149.611012878565
400.0	-8462.877497696105
401.0	-3506.2744094530044
402.0	-5646.313425469745
403.0	-1961.654539575222
404.0	-6229.921216195467
405.0	-4279.510596303404
406.0	-2225.582728390987
407.0	-6197.778971188475
408.0	-1866.8035132814196
409.0	-1278.1423418780398
410.0	-6928.776242574047
411.0	-4019.019870662584
412.0	-841.6811410057138
413.0	-1081.6022496931869
414.0	-4075.4050510387633
415.0	-4113.635908788467
416.0	-1328.406112024129
417.0	-8658.284383744747
418.0	-7474.540341205614
419.0	-7415.181424613809
420.0	-5238.918987631606
421.0	-10089.620944064201
422.0	-3403.417671532695
423.0	-2274.5021498728165
424.0	-6184.580749490289
425.0	-1882.7028432929928
426.0	-7790.425308849513
427.0	-5407.634198748183
428.0	-6677.917924353753
429.0	-3478.9873098425846
430.0	-5036.918286357188
431.0	-9423.613764779062
432.0	-4778.232903395163
433.0	-9662.904470373967
434.0	-11027.437607949203
435.0	-7431.888426820868
436.0	-8036.481166855259
437.0	-5818.256163353871
438.0	-4512.352239616427
439.0	-12524.380571331236
440.0	-1182.1430186073221
441.0	-8394.953092206186
442.0	-7584.03077201076
443.0	-1182.0031739096355
444.0	-2765.2541171435023
445.0	-3015.6899475320442
446.0	-4836.128430719889
447.0	-13516.62063969473
448.0	-14900.533429081255
449.0	-3046.738925861629
450.0	-6769.564717457269
451.0	-12513.345814914885
452.0	-9388.05377747315
453.0	-14465.51164197882
454.0	-10853.417215353886
455.0	-5613.497852503102
456.0	-7446.2683868059075
457.0	-15958.805937802705
458.0	-9675.516713139754
459.0	-13883.285240002599
460.0	-5100.220506822086
461.0	-11594.945397688798
462.0	-3153.126753885414
463.0	-2108.50521460943
464.0	-9834.91616164498
465.0	-21098.804827175405
